529: ['3:45:49', '2002', 'm', 'u']
530: ['3:45:52', '1974', 'm', 'u']
531: ['3:45:52', '2001', 'm', 'u']
532: ['3:45:58', '1991', 'm', 'u']
533: ['3:45:58', '2003', 'w', 'u']
534: ['3:46:17', '1982', 'm', 'u']
535: ['3:46:18', '1994', 'm', 'u']
536: ['3:46:25', '1971', 'm', 'u']
537: ['3:46:34', '1980', 'm', 'u']
538: ['3:46:36', '1997', 'm', 'u']
539: ['3:46:37', '1989', 'm', 'u']
540: ['3:46:45', '1999', 'm', 'u']
541: ['3:46:47', '1999', 'm', 'u']
542: ['3:46:50', '1998', 'm', 'u']
543: ['3:46:55', '1983', 'm', 'u']
544: ['3:47:03', '1998', 'm', 'u']
545: ['3:47:08', '1956', 'm', 'u']
546: ['3:47:10', '1991', 'm', 'u']
547: ['3:47:12', '1999', 'm', 'u']
548: ['3:47:13', '1972', 'm', 'u']
549: ['3:47:16', '1997', 'm', 'u']
550: ['3:47:20', '1991', 'm', 'u']
551: ['3:47:23', '1972', 'm', 'u']
552: ['3:47:23', '1977', 'm', 'u']
553: ['3:47:32', '1996', 'm', 'u']
554: ['3:47:35', '2000', 'm', 'u']
556: ['3:47:38', '1999', 'm', 'u']
557: ['3:47:39', '1987', 'm', 'u']
558: ['3:47:41', '1983', 'm', 'u']
559: ['3:47:42', '1995', 'm', 'u']
560: ['3:47:42', '1971', 'm', 'u']
561: ['3:47:43', '1996', 'w', 'u']
562: ['3:47:47', '1989', 'm', 'u']
563: ['3:47:51', '2003', 'm', 'u']
564: ['3:47:51', '1990', 'm', 'u']
565: ['3:47:53', '1997', 'm', 'u']
566: ['3:47:57', '1996', 'm', 'u']
567: ['3:48:00', '1981', 'm', 'u']
568: ['3:48:00', '1979', 'w', 'u']
569: ['3:48:01', '1989', 'm', 'u']
570: ['3:48:03', '1997', 'm', 'u']
571: ['3:48:04', '1986', 'm', 'u']
572: ['3:48:05', '1981', 'w', 'u']
573: ['3:48:16', '1972', 'w', 'u']
574: ['3:48:21', '1979', 'm', 'u']
575: ['3:48:22', '1982', 'm', 'u']
576: ['3:48:24', '2000', 'm', 'u']
577: ['3:48:36', '2000', 'm', 'u']
578: ['3:48:36', '1986', 'm', 'u']
579: ['3:48:37', '1988', 'w', 'u']
580: ['3:48:38', '2001', 'w', 'u']
581: ['3:48:39', '1997', 'm', 'u']
582: ['3:48:41', '1981', 'm', 'u']
583: ['3:48:53', '1995', 'w', 'u']
584: ['3:48:54', '1980', 'm', 'u']
585: ['3:49:06', '2000', 'm', 'u']
586: ['3:49:07', '1979', 'm', 'u']
587: ['3:49:09', '1998', 'm', 'u']
588: ['3:49:11', '1976', 'm', 'u']
589: ['3:49:14', '2002', 'm', 'u']
590: ['3:49:19', '1998', 'm', 'u']
591: ['3:49:23', '1991', 'w', 'u']
592: ['3:49:24', '2003', 'm', 'u']
593: ['3:49:24', '2003', 'w', 'u']
594: ['3:49:26', '1983', 'm', 'u']
595: ['3:49:30', '1981', 'm', 'u']
596: ['3:49:32', '1965', 'w', 'u']
597: ['3:49:45', '1995', 'm', 'u']
598: ['3:49:46', '1996', 'w', 'u']
599: ['3:49:47', '1995', 'm', 'u']
600: ['3:50:03', '2001', 'm', 'u']
601: ['3:50:07', '2003', 'm', 'u']
602: ['3:50:10', '1998', 'm', 'u']
