290: ['3:08:48', '1961', 'M', 'GER']
291: ['3:08:48', '1991', 'W', 'GER']
292: ['3:08:48', '1993', 'M', 'GER']
293: ['3:08:48', '1969', 'M', 'GER']
294: ['3:08:55', '1984', 'M', 'BRA']
295: ['3:09:00', '1976', 'M', 'GER']
296: ['3:09:03', '1971', 'M', 'GER']
297: ['3:09:04', '1988', 'M', 'GER']
298: ['3:09:04', '1985', 'M', 'GER']
299: ['3:09:11', '1977', 'M', 'BRA']
300: ['3:09:13', '1999', 'M', 'GBR']
301: ['3:09:17', '1989', 'M', 'ITA']
302: ['3:09:17', '1980', 'M', 'GBR']
303: ['3:09:19', '1989', 'M', 'GER']
304: ['3:09:26', '1981', 'M', 'GER']
305: ['3:09:32', '1986', 'M', 'FIN']
306: ['3:09:34', '2000', 'M', 'GER']
307: ['3:09:42', '1983', 'W', 'CRO']
308: ['3:09:42', '2005', 'U', 'GER']
309: ['3:09:45', '1982', 'M', 'GER']
310: ['3:09:49', '1998', 'W', 'POL']
311: ['3:09:50', '1986', 'M', 'GER']
312: ['3:09:58', '1990', 'M', 'GER']
313: ['3:10:00', '1999', 'M', 'BPH']
314: ['3:10:01', '2002', 'U', 'WSV']
315: ['3:10:01', '1973', 'M', 'BRA']
316: ['3:10:01', '1977', 'M', 'GER']
317: ['3:10:01', '1977', 'M', 'ROU']
318: ['3:10:01', '1994', 'M', 'GER']
319: ['3:10:01', '1999', 'M', 'USA']
320: ['3:10:01', '1972', 'M', 'GER']
321: ['3:10:01', '1994', 'M', 'FRA']
322: ['3:10:01', '1996', 'M', 'IRL']
323: ['3:10:01', '1984', 'M', 'RUS']
324: ['3:10:01', '1991', 'M', 'MTV']
325: ['3:10:01', '1999', 'M', 'GER']
326: ['3:10:01', '1996', 'M', 'ITA']
327: ['3:10:01', '1993', 'W', 'GER']
328: ['3:10:01', '1991', 'M', 'ESP']
329: ['3:10:01', '1994', 'M', 'GER']
330: ['3:10:01', '1978', 'M', 'ITA']
331: ['3:10:01', '2001', 'M', 'GER']
332: ['3:10:01', '1983', 'M', 'NED']
333: ['3:10:01', '1992', 'M', 'GER']
334: ['3:10:01', '1967', 'M', 'SVK']
335: ['3:10:01', '1976', 'M', 'GER']
336: ['3:10:01', '1992', 'W', 'GER']
337: ['3:10:01', '1988', 'M', 'POL']
338: ['3:10:01', '1991', 'M', 'GER']
339: ['3:10:01', '1982', 'M', 'FRA']
340: ['3:10:01', '1978', 'M', 'GER']
341: ['3:10:01', '1991', 'M', 'GER']
342: ['3:10:01', '1993', 'M', 'GER']
343: ['3:10:01', '1993', 'M', 'USA']
344: ['3:10:01', '1971', 'M', 'USA']
345: ['3:10:01', '1986', 'M', 'GER']
346: ['3:10:01', '1975', 'M', 'GER']
347: ['3:10:01', '1992', 'M', 'GER']
348: ['3:10:01', '1987', 'M', 'GER']
349: ['3:10:01', '2006', 'U', 'GER']
350: ['3:10:01', '1977', 'M', 'GER']
351: ['3:10:01', '1984', 'M', 'LLC']
352: ['3:10:01', '1999', 'M', 'GER']
353: ['3:10:01', '1988', 'M', 'CAN']
354: ['3:10:01', '1998', 'M', 'GER']
355: ['3:10:01', '1987', 'M', 'SUI']
356: ['3:10:01', '1986', 'W', 'SUI']
357: ['3:10:01', '1990', 'M', 'GER']
358: ['3:10:01', '1985', 'M', 'GER']
359: ['3:10:01', '1988', 'M', 'IRI']
360: ['3:10:01', '1994', 'M', 'GER']
361: ['3:10:01', '2000', 'M', 'GER']
362: ['3:10:01', '1991', 'M', 'GER']
363: ['3:10:01', '1966', 'M', 'GER']
364: ['3:10:01', '1990', 'M', 'GER']
365: ['3:10:01', '1976', 'M', 'GER']
366: ['3:10:01', '1979', 'M', 'GER']
367: ['3:10:01', '1987', 'M', 'GER']
368: ['3:10:01', '1996', 'M', 'GBR']
369: ['3:10:01', '2006', 'U', 'ITA']
370: ['3:10:01', '1985', 'M', 'ITA']
371: ['3:10:01', '2002', 'U', 'ITA']
372: ['3:10:01', '1999', 'M', 'SUI']
373: ['3:10:01', '1992', 'M', 'GER']
374: ['3:10:01', '1971', 'M', 'NXP']
375: ['3:10:01', '1977', 'M', 'FRA']
376: ['3:10:01', '1984', 'M', 'GER']
377: ['3:10:01', '1998', 'M', 'ARG']
378: ['3:10:01', '1988', 'M', 'POR']
379: ['3:10:01', '1998', 'M', 'GER']
380: ['3:10:01', '1971', 'M', 'GER']
381: ['3:10:01', '1997', 'M', 'GER']
382: ['3:10:01', '1973', 'M', 'GBR']
383: ['3:10:01', '1995', 'M', 'SLO']
384: ['3:10:01', '1982', 'M', 'GBR']
385: ['3:10:01', '1986', 'M', 'GER']
386: ['3:10:01', '1973', 'M', 'KOR']
387: ['3:10:01', '1997', 'M', 'GER']
388: ['3:10:01', '1994', 'M', 'GER']
389: ['3:10:01', '1995', 'M', 'GER']
390: ['3:10:01', '1988', 'M', 'ITA']
391: ['3:10:01', '1980', 'M', 'GER']
392: ['3:10:01', '1994', 'W', 'TUN']
393: ['3:10:01', '1979', 'M', 'POR']
394: ['3:10:01', '1989', 'M', 'GER']
395: ['3:10:01', '1982', 'M', 'SUI']
396: ['3:10:01', '1988', 'M', 'ESP']
397: ['3:10:01', '1989', 'M', 'GER']
398: ['3:10:01', '1998', 'W', 'USA']
399: ['3:10:01', '1976', 'M', 'SSC']
400: ['3:10:01', '1971', 'M', 'GER']
401: ['3:10:01', '1993', 'M', 'TUN']
402: ['3:10:01', '1981', 'M', 'MSV']
403: ['3:10:01', '1985', 'M', 'NED']
404: ['3:10:01', '1984', 'M', 'GER']
405: ['3:10:01', '2005', 'U', 'GER']
406: ['3:10:01', '1994', 'M', 'FSN']
407: ['3:10:01', '1960', 'M', 'ISL']
408: ['3:10:01', '1977', 'M', 'GER']
409: ['3:10:01', '1991', 'M', 'BRA']
410: ['3:10:01', '1979', 'M', 'GER']
411: ['3:10:01', '1982', 'M', 'MBB']
412: ['3:10:01', '1984', 'M', 'TSV']
413: ['3:10:01', '1999', 'M', 'GER']
414: ['3:10:01', '1998', 'M', 'GER']
415: ['3:10:01', '1998', 'M', 'GER']
416: ['3:10:01', '1994', 'M', 'FRA']
417: ['3:10:01', '1992', 'M', 'GER']
418: ['3:10:01', '1982', 'M', 'GBR']
419: ['3:10:01', '2001', 'M', 'NED']
420: ['3:10:01', '1998', 'M', 'GER']
421: ['3:10:01', '1995', 'M', 'ITA']
422: ['3:10:01', '1998', 'M', 'FRA']
423: ['3:10:01', '1980', 'M', 'GER']
424: ['3:10:01', '1997', 'M', 'GER']
425: ['3:10:01', '1994', 'M', 'GER']
426: ['3:10:01', '1993', 'M', 'GER']
427: ['3:10:01', '1968', 'M', 'LSG']
428: ['3:10:01', '1994', 'M', 'GER']
429: ['3:10:01', '2006', 'U', 'FRA']
430: ['3:10:01', '1980', 'M', 'GER']
431: ['3:10:01', '1985', 'M', 'GER']
432: ['3:10:01', '1986', 'M', 'GER']
433: ['3:10:01', '2001', 'W', 'CZE']
434: ['3:10:01', '1977', 'M', 'GER']
435: ['3:10:01', '1989', 'M', 'BLR']
436: ['3:10:01', '1992', 'M', 'SUI']
437: ['3:10:01', '1981', 'M', 'GER']
438: ['3:10:01', '1983', 'M', 'GER']
439: ['3:10:01', '1996', 'M', 'GER']
440: ['3:10:01', '1998', 'W', 'GER']
441: ['3:10:01', '1992', 'W', 'NED']
442: ['3:10:01', '1990', 'M', 'FRA']
443: ['3:10:01', '1979', 'M', 'GER']
444: ['3:10:01', '1989', 'M', 'AUT']
445: ['3:10:01', '1982', 'M', 'POR']
446: ['3:10:01', '1981', 'M', 'GER']
447: ['3:10:01', '1988', 'M', 'GBR']
448: ['3:10:01', '1972', 'M', 'AUT']
449: ['3:10:01', '1996', 'M', 'GER']
450: ['3:10:01', '1993', 'M', 'CZE']
451: ['3:10:01', '1987', 'W', 'SUI']
452: ['3:10:01', '1987', 'M', 'GER']
453: ['3:10:01', '1983', 'M', 'POL']
454: ['3:10:01', '1983', 'M', 'TUN']
455: ['3:10:01', '1998', 'M', 'GER']
456: ['3:10:01', '1985', 'M', 'AUT']
457: ['3:10:01', '1988', 'M', 'GER']
458: ['3:10:01', '1990', 'W', 'GRE']
459: ['3:10:01', '1971', 'M', 'GER']
460: ['3:10:01', '1982', 'M', 'EPO']
461: ['3:10:01', '2000', 'M', 'CZE']
462: ['3:10:01', '1994', 'M', 'GER']
463: ['3:10:01', '1997', 'M', 'GER']
464: ['3:10:01', '1988', 'W', 'USA']
465: ['3:10:01', '1976', 'M', 'AUT']
466: ['3:10:01', '1991', 'M', 'DJK']
467: ['3:10:01', '2004', 'U', 'NOR']
468: ['3:10:01', '1996', 'M', 'GER']
469: ['3:10:01', '2004', 'U', 'TTC']
470: ['3:10:01', '1996', 'M', 'AUT']
471: ['3:10:01', '1980', 'M', 'GER']
472: ['3:10:01', '1987', 'M', 'BRA']
473: ['3:10:01', '1971', 'M', 'BMW']
474: ['3:10:01', '1973', 'M', 'SIG']
475: ['3:10:01', '1978', 'M', 'ROU']
476: ['3:10:01', '1980', 'M', 'GER']
477: ['3:10:01', '1983', 'M', 'SWE']
478: ['3:10:01', '1979', 'M', 'DJK']
479: ['3:10:01', '1994', 'M', 'GER']
480: ['3:10:01', '1971', 'M', 'GER']
481: ['3:10:01', '2003', 'U', 'GER']
482: ['3:10:01', '1993', 'M', 'KAZ']
483: ['3:10:01', '1992', 'M', 'NOR']
484: ['3:10:01', '1988', 'M', 'HUN']
485: ['3:10:01', '1972', 'M', 'SIG']
486: ['3:10:01', '1986', 'M', 'RUS']
487: ['3:10:01', '1990', 'M', 'GER']
488: ['3:10:01', '1966', 'M', 'GER']
